ANNO,TRIMESTRE,median,min,25%,50%,75%,max,mean,std
2017,2,1.00000,0.00900,0.80000,1.00000,2.00000,204800.00000,43.78269,1444.93611
2017,3,1.00000,0.01900,1.00000,1.00000,2.04800,204800.00000,40.78373,1502.39119
2017,4,1.00000,0.00800,1.00000,1.00000,2.50000,204800.00000,39.08291,1170.34889
2018,1,1.00000,0.00800,1.00000,1.00000,3.00000,20000.00000,16.76597,220.45730
2018,2,1.00000,0.01900,1.00000,1.00000,3.00000,20000.00000,15.82399,228.40290
2018,3,1.00000,0.01900,1.00000,1.00000,4.00000,40957.00000,19.31496,314.73768
2018,4,1.00000,0.00800,1.00000,1.00000,4.00000,20000.00000,14.70150,162.19168
2019,1,1.00000,0.00800,1.00000,1.00000,4.00000,55600.00000,14.72837,310.75764
2019,2,1.02000,0.00800,1.00000,1.02000,5.00000,24000.00000,16.45771,212.29304
2019,3,1.50000,0.00800,1.00000,1.50000,5.00000,409600.00000,24.97538,1499.99535
2019,4,2.00000,0.00900,1.00000,2.00000,5.00000,409600.00000,25.43576,1660.23620
2020,1,2.00000,0.00200,1.00000,2.00000,5.00000,716800.00000,36.36728,2845.16104
2020,2,2.10000,0.00200,1.00000,2.10000,7.00000,512000.00000,120.46753,3627.20383
2020,3,2.50000,0.00200,1.00000,2.50000,7.00000,44044.00000,33.75621,618.43482
2020,4,3.00000,0.00200,1.00000,3.00000,8.00000,100000.00000,33.56909,600.81743
2021,1,3.00000,0.00200,1.00000,3.00000,8.00000,2204800.00000,62.64189,7203.24461
2021,2,3.00000,0.00300,1.00000,3.00000,10.00000,2204800.00000,74.34423,7104.51397
2021,3,4.00000,0.01000,1.00000,4.00000,10.00000,2204800.00000,96.53937,8257.10088
2021,4,4.00000,0.00300,1.00000,4.00000,10.00000,2204800.00000,119.37053,9133.18678
2022,1,5.00000,0.00300,1.00000,5.00000,12.61000,310000.00000,70.09471,1405.50396
2022,2,6.00000,0.00000,2.00000,6.00000,20.00000,3450300.00000,146.29088,9653.69141
