ANNO,TRIMESTRE,Corporativo,Residencial - Estrato 1,Residencial - Estrato 2,Residencial - Estrato 3,Residencial - Estrato 4,Residencial - Estrato 5,Residencial - Estrato 6,Sin estratificar,Uso propio interno del operador
2017,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2017,3,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,
2017,4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,
2018,1,2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2018,2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.2,
2018,3,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,
2018,4,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,
2019,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,
2019,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,
2019,3,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,
2019,4,3.0,1.104,1.0,1.0,1.0,1.0,1.0,2.0,
2020,1,3.0,2.0,1.5,1.0,1.02,1.02,1.02,1.5,
2020,2,5.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,
2020,3,4.0,2.0,2.0,1.8,2.0,2.25,3.0,2.0,
2020,4,4.0,2.0,2.0,2.0,2.5,3.0,3.0,2.0,
2021,1,5.0,3.0,2.5,2.0,3.0,3.0,3.0,3.0,
2021,2,5.0,3.0,2.525,2.0,3.0,4.5,4.0,3.0,
2021,3,5.12,3.0,3.0,3.0,5.0,5.0,5.0,4.0,
2021,4,6.0,3.0,3.0,3.0,5.0,6.0,6.0,4.0,
2022,1,7.0,3.0,3.0,4.0,6.0,8.0,8.0,5.0,
2022,2,10.0,4.0,5.0,6.0,10.0,10.0,10.0,6.0,2.0
